year,quarter,t,resolution,source,pnlt_raw,pnlt_fraction,who_annual,coverage_pct,c_notified,c_annualized
2015,1.0,2015.125,quarterly,PNLT_scaled_to_WHO,29253.0,0.24275,148000,81.4,35927,143708
2015,2.0,2015.375,quarterly,PNLT_scaled_to_WHO,29446.0,0.24435,148000,81.4,36164,144656
2015,3.0,2015.625,quarterly,PNLT_scaled_to_WHO,30675.0,0.25455,148000,81.4,37673,150692
2015,4.0,2015.875,quarterly,PNLT_scaled_to_WHO,31134.0,0.25836,148000,81.4,38237,152948
2016,1.0,2016.125,quarterly,PNLT_scaled_to_WHO,32320.0,0.2439,155000,85.5,37804,151216
2016,2.0,2016.375,quarterly,PNLT_scaled_to_WHO,32140.0,0.24254,155000,85.5,37593,150372
2016,3.0,2016.625,quarterly,PNLT_scaled_to_WHO,33265.0,0.25103,155000,85.5,38909,155636
2016,4.0,2016.875,quarterly,PNLT_scaled_to_WHO,34790.0,0.26254,155000,85.5,40693,162772
2017,1.0,2017.125,quarterly,PNLT_scaled_to_WHO,35355.0,0.23286,161000,94.3,37490,149960
2017,2.0,2017.375,quarterly,PNLT_scaled_to_WHO,36848.0,0.24269,161000,94.3,39073,156292
2017,3.0,2017.625,quarterly,PNLT_scaled_to_WHO,39331.0,0.25904,161000,94.3,41706,166824
2017,4.0,2017.875,quarterly,PNLT_scaled_to_WHO,40298.0,0.26541,161000,94.3,42731,170924
2018,,2018.5,annual,WHO_CSV,,,167000,,167000,167000
2019,,2019.5,annual,WHO_CSV,,,171000,,171000,171000
2020,,2020.5,annual,WHO_CSV,,,145000,,145000,145000
2021,,2021.5,annual,WHO_CSV,,,158000,,158000,158000
2022,,2022.5,annual,WHO_CSV,,,172000,,172000,172000
